kernel,mode,nnr,ngmt,threads,rep,ms,inputs,lane,alloc
newdxx_g,BaO_nat002,64000,18643,32,10,8.361000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,11,8.271000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,12,8.344000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,13,8.368000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,14,8.303000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,15,8.244000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,16,8.513000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,17,8.326000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,18,8.288000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,32,19,8.318000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,0,8.468000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,1,8.385000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,2,8.163000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,3,8.337000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,4,8.183000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,5,8.231000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,6,8.356000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,7,8.302000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,8,8.332000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,9,8.316000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,10,8.383000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,11,8.400000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,12,8.420000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,13,8.260000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,14,8.342000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,15,8.364000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,16,8.367000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,17,8.323000,set1,flang-openmp,mimalloc
